"filename", "language", "Properties", "JavaScript", "JSON", "CSS", "JavaScript JSX", "comment", "blank", "total"
"e:\new project\wdp\backend\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 1
"e:\new project\wdp\backend\controllers\userController.js", "JavaScript", 0, 54, 0, 0, 0, 0, 23, 77
"e:\new project\wdp\backend\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2
"e:\new project\wdp\backend\models\userModel.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"e:\new project\wdp\backend\routes\userRoute.js", "JavaScript", 0, 6, 0, 0, 0, 0, 6, 12
"e:\new project\wdp\frontend\package-lock.json", "JSON", 0, 0, 112, 0, 0, 0, 0, 112
"e:\new project\wdp\frontend\package.json", "JSON", 0, 0, 2, 0, 0, 0, 0, 2
"e:\new project\wdp\frontend\src\components\LoginPopup\LoginPopup.jsx", "JavaScript JSX", 0, 0, 0, 0, 55, 0, 8, 63
"e:\new project\wdp\frontend\src\components\navbar\Navbar.css", "CSS", 0, 0, 0, 37, 0, -13, 6, 30
"e:\new project\wdp\frontend\src\components\navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, -2, 22
"e:\new project\wdp\frontend\src\context\StoreContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 10
"Total", "-", 1, 71, 114, 37, 89, -13, 44, 343
